case:concept:name,concept:name,time:start,time:end,case:dims,case:threads
V1R19,"matmul(A,B)",1652347204.581854,1652347204.599717,"[300, 4000, 30, 320, 3000]",4
V1R19,"matmul(T_AB,C)",1652347204.599717,1652347204.599943,"[300, 4000, 30, 320, 3000]",4
V1R19,"matmul(T_ABC,D)",1652347204.599943,1652347204.603957,"[300, 4000, 30, 320, 3000]",4
V2R33,"matmul(B,C)",1652347204.70235,1652347204.70445,"[300, 4000, 30, 320, 3000]",4
V2R33,"matmul(A,T_BC)",1652347204.70445,1652347204.708518,"[300, 4000, 30, 320, 3000]",4
V2R33,"matmul(T_ABC,D)",1652347204.708518,1652347204.711236,"[300, 4000, 30, 320, 3000]",4
V5R14,"matmul(A,B)",1652347204.822227,1652347204.82322,"[300, 4000, 30, 320, 3000]",4
V5R14,"matmul(C,D)",1652347204.82322,1652347204.823221,"[300, 4000, 30, 320, 3000]",4
V5R14,"matmul(T_AB,T_CD)",1652347204.823221,1652347204.823662,"[300, 4000, 30, 320, 3000]",4
V1R24,"matmul(A,B)",1652347204.824651,1652347204.825231,"[300, 4000, 30, 320, 3000]",4
V1R24,"matmul(T_AB,C)",1652347204.825231,1652347204.825337,"[300, 4000, 30, 320, 3000]",4
V1R24,"matmul(T_ABC,D)",1652347204.825337,1652347204.828193,"[300, 4000, 30, 320, 3000]",4
V3R23,"matmul(B,C)",1652347204.96239,1652347204.963013,"[300, 4000, 30, 320, 3000]",4
V3R23,"matmul(T_BC,D)",1652347204.963013,1652347205.006351,"[300, 4000, 30, 320, 3000]",4
V3R23,"matmul(A,T_BCD)",1652347205.006351,1652347205.043312,"[300, 4000, 30, 320, 3000]",4
V1R55,"matmul(A,B)",1652347205.044178,1652347205.044676,"[300, 4000, 30, 320, 3000]",4
V1R55,"matmul(T_AB,C)",1652347205.044676,1652347205.044782,"[300, 4000, 30, 320, 3000]",4
V1R55,"matmul(T_ABC,D)",1652347205.044782,1652347205.047479,"[300, 4000, 30, 320, 3000]",4
V3R45,"matmul(B,C)",1652347205.048174,1652347205.048721,"[300, 4000, 30, 320, 3000]",4
V3R45,"matmul(T_BC,D)",1652347205.048721,1652347205.081122,"[300, 4000, 30, 320, 3000]",4
V3R45,"matmul(A,T_BCD)",1652347205.081122,1652347205.122129,"[300, 4000, 30, 320, 3000]",4
V2R27,"matmul(B,C)",1652347205.123202,1652347205.123772,"[300, 4000, 30, 320, 3000]",4
V2R27,"matmul(A,T_BC)",1652347205.123772,1652347205.128012,"[300, 4000, 30, 320, 3000]",4
V2R27,"matmul(T_ABC,D)",1652347205.128012,1652347205.131817,"[300, 4000, 30, 320, 3000]",4
V5R18,"matmul(A,B)",1652347205.132701,1652347205.133695,"[300, 4000, 30, 320, 3000]",4
V5R18,"matmul(C,D)",1652347205.133695,1652347205.133698,"[300, 4000, 30, 320, 3000]",4
V5R18,"matmul(T_AB,T_CD)",1652347205.133698,1652347205.134098,"[300, 4000, 30, 320, 3000]",4
V2R69,"matmul(B,C)",1652347205.134822,1652347205.135376,"[300, 4000, 30, 320, 3000]",4
V2R69,"matmul(A,T_BC)",1652347205.135376,1652347205.139025,"[300, 4000, 30, 320, 3000]",4
V2R69,"matmul(T_ABC,D)",1652347205.139025,1652347205.142003,"[300, 4000, 30, 320, 3000]",4
V3R24,"matmul(B,C)",1652347205.14284,1652347205.143396,"[300, 4000, 30, 320, 3000]",4
V3R24,"matmul(T_BC,D)",1652347205.143396,1652347205.181102,"[300, 4000, 30, 320, 3000]",4
V3R24,"matmul(A,T_BCD)",1652347205.181102,1652347205.214974,"[300, 4000, 30, 320, 3000]",4
V1R15,"matmul(A,B)",1652347205.21584,1652347205.216448,"[300, 4000, 30, 320, 3000]",4
V1R15,"matmul(T_AB,C)",1652347205.216448,1652347205.216543,"[300, 4000, 30, 320, 3000]",4
V1R15,"matmul(T_ABC,D)",1652347205.216543,1652347205.219705,"[300, 4000, 30, 320, 3000]",4
V1R26,"matmul(A,B)",1652347205.220488,1652347205.221053,"[300, 4000, 30, 320, 3000]",4
V1R26,"matmul(T_AB,C)",1652347205.221053,1652347205.221131,"[300, 4000, 30, 320, 3000]",4
V1R26,"matmul(T_ABC,D)",1652347205.221131,1652347205.224354,"[300, 4000, 30, 320, 3000]",4
V3R50,"matmul(B,C)",1652347205.225214,1652347205.22583,"[300, 4000, 30, 320, 3000]",4
V3R50,"matmul(T_BC,D)",1652347205.22583,1652347205.259797,"[300, 4000, 30, 320, 3000]",4
V3R50,"matmul(A,T_BCD)",1652347205.259797,1652347205.293139,"[300, 4000, 30, 320, 3000]",4
V2R51,"matmul(B,C)",1652347205.294003,1652347205.29455,"[300, 4000, 30, 320, 3000]",4
V2R51,"matmul(A,T_BC)",1652347205.29455,1652347205.2988,"[300, 4000, 30, 320, 3000]",4
V2R51,"matmul(T_ABC,D)",1652347205.2988,1652347205.302197,"[300, 4000, 30, 320, 3000]",4
V1R37,"matmul(A,B)",1652347205.303171,1652347205.304013,"[300, 4000, 30, 320, 3000]",4
V1R37,"matmul(T_AB,C)",1652347205.304013,1652347205.304148,"[300, 4000, 30, 320, 3000]",4
V1R37,"matmul(T_ABC,D)",1652347205.304148,1652347205.3074,"[300, 4000, 30, 320, 3000]",4
V2R32,"matmul(B,C)",1652347205.308363,1652347205.308892,"[300, 4000, 30, 320, 3000]",4
V2R32,"matmul(A,T_BC)",1652347205.308892,1652347205.313355,"[300, 4000, 30, 320, 3000]",4
V2R32,"matmul(T_ABC,D)",1652347205.313355,1652347205.315856,"[300, 4000, 30, 320, 3000]",4
V1R22,"matmul(A,B)",1652347205.316751,1652347205.317425,"[300, 4000, 30, 320, 3000]",4
V1R22,"matmul(T_AB,C)",1652347205.317425,1652347205.317537,"[300, 4000, 30, 320, 3000]",4
V1R22,"matmul(T_ABC,D)",1652347205.317537,1652347205.32011,"[300, 4000, 30, 320, 3000]",4
V2R29,"matmul(B,C)",1652347205.321205,1652347205.321813,"[300, 4000, 30, 320, 3000]",4
V2R29,"matmul(A,T_BC)",1652347205.321813,1652347205.326345,"[300, 4000, 30, 320, 3000]",4
V2R29,"matmul(T_ABC,D)",1652347205.326345,1652347205.329189,"[300, 4000, 30, 320, 3000]",4
V4R8,"matmul(C,D)",1652347205.430526,1652347205.434189,"[300, 4000, 30, 320, 3000]",4
V4R8,"matmul(B,T_CD)",1652347205.434189,1652347205.442454,"[300, 4000, 30, 320, 3000]",4
V4R8,"matmul(A,T_BCD)",1652347205.442454,1652347205.479907,"[300, 4000, 30, 320, 3000]",4
V2R54,"matmul(B,C)",1652347205.480812,1652347205.48142,"[300, 4000, 30, 320, 3000]",4
V2R54,"matmul(A,T_BC)",1652347205.48142,1652347205.485411,"[300, 4000, 30, 320, 3000]",4
V2R54,"matmul(T_ABC,D)",1652347205.485411,1652347205.489087,"[300, 4000, 30, 320, 3000]",4
V5R15,"matmul(A,B)",1652347205.490501,1652347205.491496,"[300, 4000, 30, 320, 3000]",4
V5R15,"matmul(C,D)",1652347205.491496,1652347205.491497,"[300, 4000, 30, 320, 3000]",4
V5R15,"matmul(T_AB,T_CD)",1652347205.491497,1652347205.491943,"[300, 4000, 30, 320, 3000]",4
V2R47,"matmul(B,C)",1652347205.493304,1652347205.49389,"[300, 4000, 30, 320, 3000]",4
V2R47,"matmul(A,T_BC)",1652347205.49389,1652347205.497298,"[300, 4000, 30, 320, 3000]",4
V2R47,"matmul(T_ABC,D)",1652347205.497298,1652347205.50004,"[300, 4000, 30, 320, 3000]",4
V4R24,"matmul(C,D)",1652347205.501085,1652347205.501741,"[300, 4000, 30, 320, 3000]",4
V4R24,"matmul(B,T_CD)",1652347205.501741,1652347205.507008,"[300, 4000, 30, 320, 3000]",4
V4R24,"matmul(A,T_BCD)",1652347205.507008,1652347205.539214,"[300, 4000, 30, 320, 3000]",4
V3R57,"matmul(B,C)",1652347205.540422,1652347205.541061,"[300, 4000, 30, 320, 3000]",4
V3R57,"matmul(T_BC,D)",1652347205.541061,1652347205.57106,"[300, 4000, 30, 320, 3000]",4
V3R57,"matmul(A,T_BCD)",1652347205.57106,1652347205.600718,"[300, 4000, 30, 320, 3000]",4
V2R21,"matmul(B,C)",1652347205.602134,1652347205.602699,"[300, 4000, 30, 320, 3000]",4
V2R21,"matmul(A,T_BC)",1652347205.602699,1652347205.606184,"[300, 4000, 30, 320, 3000]",4
V2R21,"matmul(T_ABC,D)",1652347205.606184,1652347205.609078,"[300, 4000, 30, 320, 3000]",4
V4R35,"matmul(C,D)",1652347205.610258,1652347205.610994,"[300, 4000, 30, 320, 3000]",4
V4R35,"matmul(B,T_CD)",1652347205.610994,1652347205.615059,"[300, 4000, 30, 320, 3000]",4
V4R35,"matmul(A,T_BCD)",1652347205.615059,1652347205.654602,"[300, 4000, 30, 320, 3000]",4
V3R69,"matmul(B,C)",1652347205.65588,1652347205.656405,"[300, 4000, 30, 320, 3000]",4
V3R69,"matmul(T_BC,D)",1652347205.656405,1652347205.692877,"[300, 4000, 30, 320, 3000]",4
V3R69,"matmul(A,T_BCD)",1652347205.692877,1652347205.734496,"[300, 4000, 30, 320, 3000]",4
V4R43,"matmul(C,D)",1652347205.735627,1652347205.736543,"[300, 4000, 30, 320, 3000]",4
V4R43,"matmul(B,T_CD)",1652347205.736543,1652347205.740577,"[300, 4000, 30, 320, 3000]",4
V4R43,"matmul(A,T_BCD)",1652347205.740577,1652347205.779269,"[300, 4000, 30, 320, 3000]",4
V2R39,"matmul(B,C)",1652347205.780551,1652347205.781058,"[300, 4000, 30, 320, 3000]",4
V2R39,"matmul(A,T_BC)",1652347205.781058,1652347205.784734,"[300, 4000, 30, 320, 3000]",4
V2R39,"matmul(T_ABC,D)",1652347205.784734,1652347205.787969,"[300, 4000, 30, 320, 3000]",4
