ID,Operation,Start time,End time,Dims,Num Threads
V1R0,"matmul(A,B)",00:00:10,00:00:43,"[3000, 3000, 3000, 3000, 3000]",1
V1R0,"matmul(T_AB,C)",00:00:43,00:01:16,"[3000, 3000, 3000, 3000, 3000]",1
V1R0,"matmul(T_ABC,D)",00:01:16,00:01:50,"[3000, 3000, 3000, 3000, 3000]",1
V1R1,"matmul(A,B)",00:01:51,00:02:25,"[3000, 3000, 3000, 3000, 3000]",1
V1R1,"matmul(T_AB,C)",00:02:25,00:02:59,"[3000, 3000, 3000, 3000, 3000]",1
V1R1,"matmul(T_ABC,D)",00:02:59,00:03:32,"[3000, 3000, 3000, 3000, 3000]",1
V1R2,"matmul(A,B)",00:03:32,00:04:04,"[3000, 3000, 3000, 3000, 3000]",1
V1R2,"matmul(T_AB,C)",00:04:04,00:04:36,"[3000, 3000, 3000, 3000, 3000]",1
V1R2,"matmul(T_ABC,D)",00:04:36,00:05:08,"[3000, 3000, 3000, 3000, 3000]",1
V1R3,"matmul(A,B)",00:05:08,00:05:40,"[3000, 3000, 3000, 3000, 3000]",1
V1R3,"matmul(T_AB,C)",00:05:40,00:06:12,"[3000, 3000, 3000, 3000, 3000]",1
V1R3,"matmul(T_ABC,D)",00:06:12,00:06:45,"[3000, 3000, 3000, 3000, 3000]",1
V1R4,"matmul(A,B)",00:06:45,00:07:18,"[3000, 3000, 3000, 3000, 3000]",1
V1R4,"matmul(T_AB,C)",00:07:18,00:07:52,"[3000, 3000, 3000, 3000, 3000]",1
V1R4,"matmul(T_ABC,D)",00:07:52,00:08:25,"[3000, 3000, 3000, 3000, 3000]",1
V2R0,"matmul(B,C)",00:08:30,00:09:03,"[3000, 3000, 3000, 3000, 3000]",1
V2R0,"matmul(A,T_BC)",00:09:03,00:09:36,"[3000, 3000, 3000, 3000, 3000]",1
V2R0,"matmul(T_ABC,D)",00:09:36,00:10:08,"[3000, 3000, 3000, 3000, 3000]",1
V2R1,"matmul(B,C)",00:10:08,00:10:40,"[3000, 3000, 3000, 3000, 3000]",1
V2R1,"matmul(A,T_BC)",00:10:40,00:11:12,"[3000, 3000, 3000, 3000, 3000]",1
V2R1,"matmul(T_ABC,D)",00:11:12,00:11:44,"[3000, 3000, 3000, 3000, 3000]",1
V2R2,"matmul(B,C)",00:11:44,00:12:16,"[3000, 3000, 3000, 3000, 3000]",1
V2R2,"matmul(A,T_BC)",00:12:16,00:12:49,"[3000, 3000, 3000, 3000, 3000]",1
V2R2,"matmul(T_ABC,D)",00:12:49,00:13:20,"[3000, 3000, 3000, 3000, 3000]",1
V2R3,"matmul(B,C)",00:13:20,00:13:51,"[3000, 3000, 3000, 3000, 3000]",1
V2R3,"matmul(A,T_BC)",00:13:51,00:14:23,"[3000, 3000, 3000, 3000, 3000]",1
V2R3,"matmul(T_ABC,D)",00:14:23,00:14:54,"[3000, 3000, 3000, 3000, 3000]",1
V2R4,"matmul(B,C)",00:14:54,00:15:26,"[3000, 3000, 3000, 3000, 3000]",1
V2R4,"matmul(A,T_BC)",00:15:26,00:15:57,"[3000, 3000, 3000, 3000, 3000]",1
V2R4,"matmul(T_ABC,D)",00:15:57,00:16:28,"[3000, 3000, 3000, 3000, 3000]",1
V3R0,"matmul(B,C)",00:16:34,00:17:05,"[3000, 3000, 3000, 3000, 3000]",1
