case:concept:name,concept:name,time:start,time:end,case:dims,case:threads
V3R0,"matmul(B,C)",2022-05-11 17:36:13.723823,2022-05-11 17:36:13.743966,"[300, 4000, 30, 320, 3000]",1
V3R0,"matmul(T_BC,D)",2022-05-11 17:36:13.743966,2022-05-11 17:36:13.853929,"[300, 4000, 30, 320, 3000]",1
V3R0,"matmul(A,T_BCD)",2022-05-11 17:36:13.853929,2022-05-11 17:36:13.943513,"[300, 4000, 30, 320, 3000]",1
V4R0,"matmul(C,D)",2022-05-11 17:36:14.029491,1652283374.03051,"[300, 4000, 30, 320, 3000]",1
V4R0,"matmul(B,T_CD)",2022-05-11 17:36:14.030510,2022-05-11 17:36:14.041976,"[300, 4000, 30, 320, 3000]",1
V4R0,"matmul(A,T_BCD)",2022-05-11 17:36:14.041976,2022-05-11 17:36:14.145133,"[300, 4000, 30, 320, 3000]",1
V2R6,"matmul(B,C)",2022-05-11 17:36:14.231885,2022-05-11 17:36:14.233227,"[300, 4000, 30, 320, 3000]",1
V2R6,"matmul(A,T_BC)",2022-05-11 17:36:14.233227,2022-05-11 17:36:14.241888,"[300, 4000, 30, 320, 3000]",1
V2R6,"matmul(T_ABC,D)",2022-05-11 17:36:14.241888,2022-05-11 17:36:14.248166,"[300, 4000, 30, 320, 3000]",1
V3R5,"matmul(B,C)",2022-05-11 17:36:14.249429,2022-05-11 17:36:14.250588,"[300, 4000, 30, 320, 3000]",1
V3R5,"matmul(T_BC,D)",2022-05-11 17:36:14.250588,2022-05-11 17:36:14.334945,"[300, 4000, 30, 320, 3000]",1
V3R5,"matmul(A,T_BCD)",2022-05-11 17:36:14.334945,2022-05-11 17:36:14.416501,"[300, 4000, 30, 320, 3000]",1
V4R6,"matmul(C,D)",2022-05-11 17:36:14.417883,1652283374.418736,"[300, 4000, 30, 320, 3000]",1
V4R6,"matmul(B,T_CD)",2022-05-11 17:36:14.418736,2022-05-11 17:36:14.431749,"[300, 4000, 30, 320, 3000]",1
V4R6,"matmul(A,T_BCD)",2022-05-11 17:36:14.431749,2022-05-11 17:36:14.515278,"[300, 4000, 30, 320, 3000]",1
V5R6,"matmul(A,B)",2022-05-11 17:36:14.602136,2022-05-11 17:36:14.603131,"[300, 4000, 30, 320, 3000]",1
V5R6,"matmul(C,D)",2022-05-11 17:36:14.603131,2022-05-11 17:36:14.603955,"[300, 4000, 30, 320, 3000]",1
V5R6,"matmul(T_AB,T_CD)",2022-05-11 17:36:14.603955,2022-05-11 17:36:14.604726,"[300, 4000, 30, 320, 3000]",1
V1R1,"matmul(A,B)",2022-05-11 17:36:14.689561,2022-05-11 17:36:14.690500,"[300, 4000, 30, 320, 3000]",1
V1R1,"matmul(T_AB,C)",2022-05-11 17:36:14.690500,2022-05-11 17:36:14.690575,"[300, 4000, 30, 320, 3000]",1
V1R1,"matmul(T_ABC,D)",2022-05-11 17:36:14.690575,2022-05-11 17:36:14.697525,"[300, 4000, 30, 320, 3000]",1
V2R7,"matmul(B,C)",2022-05-11 17:36:14.698549,2022-05-11 17:36:14.699842,"[300, 4000, 30, 320, 3000]",1
V2R7,"matmul(A,T_BC)",2022-05-11 17:36:14.699842,2022-05-11 17:36:14.708540,"[300, 4000, 30, 320, 3000]",1
V2R7,"matmul(T_ABC,D)",2022-05-11 17:36:14.708540,2022-05-11 17:36:14.715048,"[300, 4000, 30, 320, 3000]",1
V3R1,"matmul(B,C)",2022-05-11 17:36:14.716216,2022-05-11 17:36:14.717356,"[300, 4000, 30, 320, 3000]",1
V3R1,"matmul(T_BC,D)",2022-05-11 17:36:14.717356,2022-05-11 17:36:14.799999,"[300, 4000, 30, 320, 3000]",1
V3R1,"matmul(A,T_BCD)",2022-05-11 17:36:14.799999,2022-05-11 17:36:14.883292,"[300, 4000, 30, 320, 3000]",1
V5R5,"matmul(A,B)",2022-05-11 17:36:14.884670,2022-05-11 17:36:14.885711,"[300, 4000, 30, 320, 3000]",1
V5R5,"matmul(C,D)",2022-05-11 17:36:14.885711,2022-05-11 17:36:14.886537,"[300, 4000, 30, 320, 3000]",1
V5R5,"matmul(T_AB,T_CD)",2022-05-11 17:36:14.886537,2022-05-11 17:36:14.887306,"[300, 4000, 30, 320, 3000]",1
V2R0,"matmul(B,C)",2022-05-11 17:36:14.888205,2022-05-11 17:36:14.889363,"[300, 4000, 30, 320, 3000]",1
V2R0,"matmul(A,T_BC)",2022-05-11 17:36:14.889363,2022-05-11 17:36:14.897577,"[300, 4000, 30, 320, 3000]",1
V2R0,"matmul(T_ABC,D)",2022-05-11 17:36:14.897577,2022-05-11 17:36:14.903661,"[300, 4000, 30, 320, 3000]",1
V1R9,"matmul(A,B)",2022-05-11 17:36:14.904496,2022-05-11 17:36:14.905521,"[300, 4000, 30, 320, 3000]",1
V1R9,"matmul(T_AB,C)",2022-05-11 17:36:14.905521,2022-05-11 17:36:14.905593,"[300, 4000, 30, 320, 3000]",1
V1R9,"matmul(T_ABC,D)",2022-05-11 17:36:14.905593,2022-05-11 17:36:14.912413,"[300, 4000, 30, 320, 3000]",1
V2R9,"matmul(B,C)",2022-05-11 17:36:14.913473,2022-05-11 17:36:14.914672,"[300, 4000, 30, 320, 3000]",1
V2R9,"matmul(A,T_BC)",2022-05-11 17:36:14.914672,2022-05-11 17:36:14.923378,"[300, 4000, 30, 320, 3000]",1
V2R9,"matmul(T_ABC,D)",2022-05-11 17:36:14.923378,2022-05-11 17:36:14.930172,"[300, 4000, 30, 320, 3000]",1
V4R8,"matmul(C,D)",2022-05-11 17:36:14.931290,1652283374.93215,"[300, 4000, 30, 320, 3000]",1
V4R8,"matmul(B,T_CD)",2022-05-11 17:36:14.932150,2022-05-11 17:36:14.943796,"[300, 4000, 30, 320, 3000]",1
V4R8,"matmul(A,T_BCD)",2022-05-11 17:36:14.943796,2022-05-11 17:36:15.026690,"[300, 4000, 30, 320, 3000]",1
V5R3,"matmul(A,B)",2022-05-11 17:36:15.027759,2022-05-11 17:36:15.029226,"[300, 4000, 30, 320, 3000]",1
V5R3,"matmul(C,D)",2022-05-11 17:36:15.029226,2022-05-11 17:36:15.030047,"[300, 4000, 30, 320, 3000]",1
V5R3,"matmul(T_AB,T_CD)",2022-05-11 17:36:15.030047,2022-05-11 17:36:15.030797,"[300, 4000, 30, 320, 3000]",1
V1R3,"matmul(A,B)",2022-05-11 17:36:15.031878,2022-05-11 17:36:15.033167,"[300, 4000, 30, 320, 3000]",1
V1R3,"matmul(T_AB,C)",2022-05-11 17:36:15.033167,2022-05-11 17:36:15.033242,"[300, 4000, 30, 320, 3000]",1
V1R3,"matmul(T_ABC,D)",2022-05-11 17:36:15.033242,2022-05-11 17:36:15.040552,"[300, 4000, 30, 320, 3000]",1
V4R5,"matmul(C,D)",2022-05-11 17:36:15.041606,1652283375.042576,"[300, 4000, 30, 320, 3000]",1
V4R5,"matmul(B,T_CD)",2022-05-11 17:36:15.042576,2022-05-11 17:36:15.054078,"[300, 4000, 30, 320, 3000]",1
V4R5,"matmul(A,T_BCD)",2022-05-11 17:36:15.054078,2022-05-11 17:36:15.141429,"[300, 4000, 30, 320, 3000]",1
V4R1,"matmul(C,D)",2022-05-11 17:36:15.142639,1652283375.143695,"[300, 4000, 30, 320, 3000]",1
V4R1,"matmul(B,T_CD)",2022-05-11 17:36:15.143695,2022-05-11 17:36:15.158904,"[300, 4000, 30, 320, 3000]",1
V4R1,"matmul(A,T_BCD)",2022-05-11 17:36:15.158904,2022-05-11 17:36:15.249963,"[300, 4000, 30, 320, 3000]",1
V5R8,"matmul(A,B)",2022-05-11 17:36:15.251187,2022-05-11 17:36:15.252220,"[300, 4000, 30, 320, 3000]",1
V5R8,"matmul(C,D)",2022-05-11 17:36:15.252220,2022-05-11 17:36:15.253058,"[300, 4000, 30, 320, 3000]",1
V5R8,"matmul(T_AB,T_CD)",2022-05-11 17:36:15.253058,2022-05-11 17:36:15.253828,"[300, 4000, 30, 320, 3000]",1
V1R5,"matmul(A,B)",2022-05-11 17:36:15.254746,2022-05-11 17:36:15.255672,"[300, 4000, 30, 320, 3000]",1
V1R5,"matmul(T_AB,C)",2022-05-11 17:36:15.255672,2022-05-11 17:36:15.255749,"[300, 4000, 30, 320, 3000]",1
V1R5,"matmul(T_ABC,D)",2022-05-11 17:36:15.255749,2022-05-11 17:36:15.262465,"[300, 4000, 30, 320, 3000]",1
V4R9,"matmul(C,D)",2022-05-11 17:36:15.263462,1652283375.264318,"[300, 4000, 30, 320, 3000]",1
V4R9,"matmul(B,T_CD)",2022-05-11 17:36:15.264318,2022-05-11 17:36:15.277981,"[300, 4000, 30, 320, 3000]",1
V4R9,"matmul(A,T_BCD)",2022-05-11 17:36:15.277981,2022-05-11 17:36:15.378597,"[300, 4000, 30, 320, 3000]",1
V5R2,"matmul(A,B)",2022-05-11 17:36:15.379646,2022-05-11 17:36:15.380758,"[300, 4000, 30, 320, 3000]",1
V5R2,"matmul(C,D)",2022-05-11 17:36:15.380758,2022-05-11 17:36:15.381661,"[300, 4000, 30, 320, 3000]",1
V5R2,"matmul(T_AB,T_CD)",2022-05-11 17:36:15.381661,2022-05-11 17:36:15.382486,"[300, 4000, 30, 320, 3000]",1
V2R5,"matmul(B,C)",2022-05-11 17:36:15.383590,2022-05-11 17:36:15.384769,"[300, 4000, 30, 320, 3000]",1
V2R5,"matmul(A,T_BC)",2022-05-11 17:36:15.384769,2022-05-11 17:36:15.394091,"[300, 4000, 30, 320, 3000]",1
